,Feature,ExcessCorr
6502,EG_2/FC,-0.00021863269323670195
6503,EU/FC_2,-0.00021884013015312513
6504,AZ_l*EG,-0.0002194327460528433
6505,AX/EJ,-0.0002194522086041567
6506,EJ_l/EG,-0.00021974652824159786
6507,EJ_2/EG,-0.00021974652824160654
6508,EJ/EG,-0.00021974652824160654
6509,AZ*FR,-0.0002206203147742218
6510,FR*AZ,-0.0002206203147742218
6511,AX/EJ_l,-0.00022075287876585463
6512,CB_2/FC,-0.00022076390486991382
6513,GE_l*CF,-0.00022117768365620231
6514,DL*GL_2,-0.00022130800878842824
6515,FD/BC_l,-0.00022177185793256782
6516,DL/EU_l,-0.00022199029757788424
6517,BR_2/GI,-0.00022246182414554887
6518,BD_l*DI,-0.00022250204236916316
6519,DL/AH_l,-0.00022275502654838658
6520,CL_2/DN,-0.00022330604071971958
6521,BR/CB_2,-0.00022364790635781475
6522,AH/AZ_l,-0.00022575969313941248
6523,EB*AY_2,-0.000225981012927594
6524,DV_l*CH,-0.00022641347314120115
6525,CB/FC_l,-0.00022689675790604357
6526,CS_l*FD,-0.00022691616772278767
6527,FC_2*FS_2,-0.00022808191792847508
6528,GF/BZ,-0.00022845640829944128
6529,GI/CW_l,-0.00022862537359988333
6530,EH/EP_l,-0.0002286506264085053
6531,BR_2*CS_2,-0.00022999266372686778
6532,AH/CS_2,-0.00023023914627196993
6533,AZ_l*DY,-0.00023173402235789889
6534,GI/EJ_l,-0.000231887073889046
6535,CH/DV,-0.00023197335992908923
6536,FS/DV_2,-0.00023201363953337525
6537,FR/AR_2,-0.00023207016972688968
6538,BC/GF,-0.00023244170495366825
6539,GH_l*DF,-0.00023257585175671946
6540,CH_l*DV_l,-0.00023425974796812443
6541,FS/CL_2,-0.0002343446929525767
6542,EG/GH_2,-0.00023443330161114246
6543,DV*FS,-0.00023510402721593939
6544,FS*DV,-0.00023510402721593939
6545,BR_2/DN,-0.00023661027504357553
6546,CH_l/DV,-0.0002366695815512336
6547,FC/DN_l,-0.00023672947037828589
6548,AY/AR_l,-0.00023705809944989803
6549,FS/DV,-0.00023784008420092064
6550,DN_l/GE,-0.0002380965897577341
6551,BD*CF,-0.00023815685682331868
